000007134040003005600000000090008010007400000310700600058000007000020390900070000,289567134741983265635241879594638712867412953312759648158396427476825391923174586,6
310504690600001500040060000000010030209080000000030409000800000700000060560000270,318524697627391584945768123456917832239485716871632459192876345784253961563149278,6
000004856000300009000250400090070000060030500780000001270405000830000600400060000,327194856645387129918256437594671283162938574783542961276415398831729645459863712,6
470030001000000000502040900000302008306980000080100070000020046800000003047000050,478239561961578432532641987714352698356987124289164375193725846825496713647813259,6
060000080010026059400001300000650000930000000600407002080003200200100070070000004,362594187718326459495871326824659713937218645651437892589743261243165978176982534,6
000003000000600910001200005000800001740000002030720600800002097002309046070000000,659413728327658914481297365296835471748961532135724689863542197512379846974186253,6
800030001000900070017000020040000000609010083005040000001096007004000900903002005,892734651356921874417685329748369512629517483135248796581496237274153968963872145,6
700038210000001000030905060600100020000040000080003004920080000007000050008610040,765438219294761385831925467643179528572846193189253674926584731417392856358617942,6
810600007000108690000000040080030200700000300040050010104006000000500000007019003,819624537453178692276395148685431279791862354342957816134786925928543761567219483,6
000000000050400096002000407000204000010080050093000720609000000100093040080120005,946712583751438296832956417568274139217389654493561728629845371175693842384127965,6
